Data Analyst,$93K-$159K (Glassdoor est.),3.4,"Thermo Fisher Scientific
3.4","South San Francisco, CA","Waltham, MA",10000+ employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Analyst,$93K-$159K (Glassdoor est.),3.2,"Net2Source
3.2","San Francisco, CA","Somerset, NJ",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Senior Data Analyst,$82K-$116K (Glassdoor est.),3.3,"Vida Health
3.3","San Francisco, CA","San Francisco, CA",51 to 200 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Web Data Analyst,$82K-$116K (Glassdoor est.),4,"SACC
4.0","San Mateo, CA","San Mateo, CA",Unknown,IT Services,Information Technology,$5 to $10 million (USD)
Data Analyst (APPZ-DAHY),$82K-$116K (Glassdoor est.),-1,Applicantz,"San Francisco, CA","Houston, TX",51 to 200 employees,-1,-1,Unknown / Non-Applicable
"Data Analyst, Data & Analytics (Advanced Analytics) Manager (Multiple Positions)",$82K-$116K (Glassdoor est.),-1,Ernst & Young LLP,"San Francisco, CA",-1,-1,-1,-1,-1
Data Scientist Analyst,$82K-$116K (Glassdoor est.),3.9,"Netpace, Inc
3.9","Foster City, CA","San Ramon, CA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
Finance Data Analyst,$82K-$116K (Glassdoor est.),3,"Qualys
3.0","Foster City, CA","Foster City, CA",501 to 1000 employees,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Business Data Analyst,$82K-$116K (Glassdoor est.),-1,"Scale AI, Inc.","San Francisco, CA",-1,-1,-1,-1,-1
Data Quality Analyst,$82K-$116K (Glassdoor est.),3.8,"Focal Systems
3.8","Burlingame, CA","Burlingame, CA",1 to 50 employees,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Data Analyst - San Francisco CA / VA - Fulltime,$82K-$116K (Glassdoor est.),3.8,"United IT Solutions
3.8","San Francisco, CA","Irving, TX",1 to 50 employees,Consulting,Business Services,$1 to $5 million (USD)
Data Analyst,$82K-$116K (Glassdoor est.),-1,cyitechsearch,"San Bruno, CA",-1,-1,-1,-1,-1
Data Analyst,$82K-$116K (Glassdoor est.),-1,IT Avalon,"Oakland, CA","Brentwood, CA",51 to 200 employees,-1,-1,Unknown / Non-Applicable
HR Data Analyst,$82K-$116K (Glassdoor est.),4,"Snowflake Computing
4.0","San Mateo, CA","San Mateo, CA",1001 to 5000 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Scientific Data Manager and Analyst,$82K-$116K (Glassdoor est.),4.4,"Perfect Day
4.4","Emeryville, CA","Emeryville, CA",51 to 200 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Senior Data Analyst - Finance & Platform Analytics,$82K-$116K (Glassdoor est.),3.6,"Twitch
3.6","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$82K-$116K (Glassdoor est.),3.2,"Infotech Sourcing
3.2","San Francisco, CA","Edison, NJ",51 to 200 employees,"Health, Beauty, & Fitness",Consumer Services,$5 to $10 million (USD)
Business Data Analyst,$82K-$116K (Glassdoor est.),3.9,"ApTask
3.9","San Francisco, CA","Iselin, NJ",201 to 500 employees,IT Services,Information Technology,$50 to $100 million (USD)
Product Compliance Data Analyst,$82K-$116K (Glassdoor est.),4,"Square
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
Data and Policy Analyst - Statistical Programmer,$82K-$116K (Glassdoor est.),3.2,"Acumen
3.2","Burlingame, CA","Burlingame, CA",201 to 500 employees,Federal Agencies,Government,$10 to $25 million (USD)
Principal Data Analyst,$82K-$116K (Glassdoor est.),4.4,"Hinge Health
4.4","San Francisco, CA","San Francisco, CA",201 to 500 employees,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Data Analyst,$82K-$116K (Glassdoor est.),-1,Koger LLC,"San Mateo, CA","Arlington, VA",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$82K-$116K (Glassdoor est.),-1,TransReach,"Oakland, CA","East Brunswick, NJ",Unknown,-1,-1,Unknown / Non-Applicable
Master Data Analyst – SAP MDG Platform,$82K-$116K (Glassdoor est.),4.5,"Rose International
4.5","San Francisco, CA","Chesterfield, MO",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Systems Analyst,$82K-$116K (Glassdoor est.),-1,GLIDE MEMORIAL CHURCH,"San Francisco, CA",-1,-1,-1,-1,-1
Data Analyst,$82K-$116K (Glassdoor est.),3.7,"Take-Two
3.7","Novato, CA","New York, NY",1001 to 5000 employees,Video Games,Media,$1 to $2 billion (USD)
CSV Data Validation Analyst,$82K-$116K (Glassdoor est.),3.9,"Netpace, Inc.
3.9","Foster City, CA","San Ramon, CA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
Senior Data and Fraud Analyst,$82K-$116K (Glassdoor est.),-1,Apto Payments,"San Francisco, CA","San Francisco, CA",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data and Reporting Analyst,$82K-$116K (Glassdoor est.),3.2,"Chinese Community Health Plan
3.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,Insurance Carriers,Insurance,Unknown / Non-Applicable
Upstart - Data Analyst,$82K-$116K (Glassdoor est.),-1,V3 Talent Partners Inc.,"San Mateo, CA","Los Angeles, CA",Unknown,-1,-1,Unknown / Non-Applicable
"Position for Lead Data Analyst (Teradata, Oracle, Hadoop)",$65K-$120K (Glassdoor est.),3.7,"Arkhya Tech
3.7","San Francisco, CA","Herndon, VA",1 to 50 employees,IT Services,Information Technology,Unknown / Non-Applicable
"Data Analyst, Transaction Monitoring",$65K-$120K (Glassdoor est.),-1,Wish.com,"San Francisco, CA","Keswick, VA",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Fleet Optimization Data Analyst (Solar + Storage),$65K-$120K (Glassdoor est.),3.2,"Stem Inc
3.2","Millbrae, CA","Millbrae, CA",51 to 200 employees,Energy,"Oil, Gas, Energy & Utilities",$25 to $50 million (USD)
Big Data Analyst,$65K-$120K (Glassdoor est.),3.7,"Redolent, Inc
3.7","San Mateo, CA","Newark, CA",1 to 50 employees,"Health, Beauty, & Fitness",Consumer Services,Less than $1 million (USD)
Business Data Analyst,$65K-$120K (Glassdoor est.),3.8,"VLink Inc.
3.8","San Francisco, CA","South Windsor, CT",201 to 500 employees,IT Services,Information Technology,$25 to $50 million (USD)
Data Analyst,$65K-$120K (Glassdoor est.),4,"Lorven Technologies Inc
4.0","San Francisco, CA","Plainsboro, NJ",1 to 50 employees,Accounting,Accounting & Legal,Less than $1 million (USD)
Data Analyst,$65K-$120K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","San Francisco, CA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Senior Lead Data Analytics Analyst,$65K-$120K (Glassdoor est.),2.8,"Bank of the West
2.8","San Francisco, CA","San Francisco, CA",10000+ employees,Banks & Credit Unions,Finance,$2 to $5 billion (USD)
Data Analyst w/ Tealium - Remote Work,$65K-$120K (Glassdoor est.),4,"Two95 International Inc.
4.0","San Mateo, CA","Cherry Hill, NJ",1 to 50 employees,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Analyst,$65K-$120K (Glassdoor est.),2.5,"Enclipse
2.5","Oakland, CA","Minneapolis, MN",51 to 200 employees,IT Services,Information Technology,$5 to $10 million (USD)
"Business Data Analyst Excel, Tableau - 100% Remote - Phoenix, Minneapolis, or Des Moines",$65K-$120K (Glassdoor est.),3.7,"PRIMUS Global Services, Inc
3.7","San Francisco, CA","Irving, TX",501 to 1000 employees,Consulting,Business Services,$10 to $25 million (USD)
Business Data Analyst - Senior/Director : 20,$65K-$120K (Glassdoor est.),4.6,"Akraya Inc.
4.6","San Francisco, CA","Santa Clara, CA",51 to 200 employees,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Senior Data Analyst,$65K-$120K (Glassdoor est.),3.6,"Vida
3.6","San Francisco, CA","Vienna, Austria",Unknown,-1,-1,Unknown / Non-Applicable
Senior Data Analyst - User Growth,$65K-$120K (Glassdoor est.),3.4,"Redfin
3.4","San Francisco, CA","Seattle, WA",1001 to 5000 employees,Real Estate,Real Estate,Unknown / Non-Applicable
Senior Data Analyst,$65K-$120K (Glassdoor est.),3.5,"Flexport
3.5","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Logistics & Supply Chain,Transportation & Logistics,$500 million to $1 billion (USD)
"Senior Compliance Data Analyst, Cash App",$65K-$120K (Glassdoor est.),4,"Square
4.0","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
Data Analyst,$65K-$120K (Glassdoor est.),4.1,"Kforce
4.1","San Ramon, CA","Tampa, FL",10000+ employees,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
Procurement Data Analyst,$65K-$120K (Glassdoor est.),3.3,"Bio-Rad
3.3","Hercules, CA","Hercules, CA",5001 to 10000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Master Data Management (MDM) - Business Systems Analyst,$65K-$120K (Glassdoor est.),3.5,"Saama
3.5","South San Francisco, CA","Faridabad, India",1 to 50 employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Sr. Data Analyst - Risk Analysis,$65K-$120K (Glassdoor est.),4.5,"OKCoin
4.5","San Francisco, CA","San Francisco, CA",501 to 1000 employees,Internet,Information Technology,Unknown / Non-Applicable
Lead Data Analyst (Product),$65K-$120K (Glassdoor est.),-1,Kinship,"San Francisco, CA","Chicago, IL",1 to 50 employees,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Lead Data Analyst,$65K-$120K (Glassdoor est.),3.9,"Diverse Lynx
3.9","San Francisco, CA","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Salesforce Administrator and Data Analyst,$65K-$120K (Glassdoor est.),-1,SF IHSS Public Authority,"San Francisco, CA",-1,-1,-1,-1,-1
Alerts Business/Data Analyst,$65K-$120K (Glassdoor est.),3.8,"Apex Systems
3.8","San Francisco, CA","Glen Allen, VA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Senior Business Data Analyst,$65K-$120K (Glassdoor est.),4,"Hazelcast
4.0","San Mateo, CA","Palo Alto, CA",51 to 200 employees,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
BI Developer - Data Analyst,$65K-$120K (Glassdoor est.),4.1,"LeadStack, Inc.
4.1","Foster City, CA","San Francisco, CA",51 to 200 employees,IT Services,Information Technology,Unknown / Non-Applicable
Biological Data Analyst - Remote,$65K-$120K (Glassdoor est.),-1,Parker Institute for Cancer Immunotherapy,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Health Fundraising Organizations,Non-Profit,Unknown / Non-Applicable
Data Systems Analyst (7199U,$65K-$120K (Glassdoor est.),4.1,"University of California Berkeley
4.1","Berkeley, CA","Berkeley, CA",10000+ employees,Colleges & Universities,Education,$500 million to $1 billion (USD)
Sr. Business and Data Analyst,$46K-$86K (Glassdoor est.),5,"addastaff
5.0","San Francisco, CA","San Mateo, CA",1 to 50 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Business Data Analyst - Senior/Director,$46K-$86K (Glassdoor est.),4.5,"HireTalent
4.5","San Francisco, CA","New York, NY",201 to 500 employees,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
"Lead Data Analyst, BI/Visualizations",$46K-$86K (Glassdoor est.),4.8,"Chime
4.8","San Francisco, CA","San Francisco, CA",201 to 500 employees,Banks & Credit Unions,Finance,Unknown / Non-Applicable
"Lead Data Analyst, BI/Visualizations",$46K-$86K (Glassdoor est.),-1,Chime Bank,"San Francisco, CA",-1,-1,-1,-1,-1
Epic Clarity Data Analyst,$46K-$86K (Glassdoor est.),4.1,"APN Software Services Inc.
4.1","Oakland, CA","Newark, CA",51 to 200 employees,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
Senior Data Analyst,$46K-$86K (Glassdoor est.),2.7,"The Pill Club
2.7","San Mateo, CA","San Mateo, CA",201 to 500 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Senior Health Data Analyst,$46K-$86K (Glassdoor est.),-1,One Medical,"San Francisco, CA","South Melbourne, Australia",201 to 500 employees,-1,-1,Unknown / Non-Applicable
Business Data Analyst - Senior/Director,$46K-$86K (Glassdoor est.),3.9,"TalentBurst, Inc.
3.9","San Francisco, CA","Natick, MA",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Sales Finance Data Analyst,$46K-$86K (Glassdoor est.),3,"Qualys
3.0","Foster City, CA","Foster City, CA",501 to 1000 employees,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
"Senior Business Technology Analyst - MDM / Data Management (San Francisco area, CA)",$46K-$86K (Glassdoor est.),3.8,"ZS Associates
3.8","San Francisco, CA","Evanston, IL",5001 to 10000 employees,Consulting,Business Services,Unknown / Non-Applicable
Data Integrity Analyst,$46K-$86K (Glassdoor est.),3.1,"I.T. Solutions, Inc.
3.1","Foster City, CA","Monmouth Junction, NJ",201 to 500 employees,IT Services,Information Technology,Unknown / Non-Applicable
"Business data analyst - SFO , CA",$46K-$86K (Glassdoor est.),3.9,"Diverse Lynx
3.9","San Francisco, CA","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Business Data Analyst WITH Data Standards and Migration,$46K-$86K (Glassdoor est.),3.9,"Diverse Lynx
3.9","San Francisco, CA","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Senior Data Analyst,$46K-$86K (Glassdoor est.),3.2,"QuinStreet
3.2","San Mateo, CA","Foster City, CA",501 to 1000 employees,Advertising & Marketing,Business Services,$100 to $500 million (USD)
BI Data Analyst / Business Analyst,$46K-$86K (Glassdoor est.),4.4,"Alliance IT
4.4","San Ramon, CA","Pleasanton, CA",51 to 200 employees,IT Services,Information Technology,$5 to $10 million (USD)
Senior Product Data Analyst,$46K-$86K (Glassdoor est.),3.9,"LiveCareer
3.9","San Francisco, CA","Guaynabo, PR",501 to 1000 employees,Internet,Information Technology,Unknown / Non-Applicable
"Senior Business Data Analyst, Growth Strategy",$46K-$86K (Glassdoor est.),3.5,"Square Trade
3.5","San Francisco, CA","San Francisco, CA",201 to 500 employees,Insurance Carriers,Insurance,$2 to $5 billion (USD)
Senior Product Data Analyst,$46K-$86K (Glassdoor est.),3.6,"BOLD
3.6","San Francisco, CA","Guaynabo, PR",201 to 500 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst Junior,$46K-$86K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","San Francisco, CA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
"Job Opportunity with Cognizant for Data Analyst at SFO ,CA (NO OPT & NO CPT)",$46K-$86K (Glassdoor est.),4.4,"Next Level Business Services, Inc.
4.4","San Francisco, CA","Alpharetta, GA",5001 to 10000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Senior Data Analyst,$46K-$86K (Glassdoor est.),4.4,"The Armada Group
4.4","San Francisco, CA","Santa Cruz, CA",51 to 200 employees,IT Services,Information Technology,Unknown / Non-Applicable
Sr Data Analyst,$46K-$86K (Glassdoor est.),4.9,"GoAhead Solutions
4.9","San Francisco, CA","South San Francisco, CA",1 to 50 employees,IT Services,Information Technology,$10 to $25 million (USD)
Senior Business and Data Analyst,$46K-$86K (Glassdoor est.),5,"addastaff
5.0","San Francisco, CA","San Mateo, CA",1 to 50 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst - Int,$47K-$74K (Glassdoor est.),4.3,"Abacus Service Corporation
4.3","Oakland, CA","Southfield, MI",501 to 1000 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Senior Financial Systems Analyst / Business Intelligence Data Modeler,$47K-$74K (Glassdoor est.),3.8,"Franklin Templeton Investments
3.8","San Mateo, CA","San Mateo, CA",5001 to 10000 employees,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
Enrollment & Student Services Data & Systems Operations Analyst,$47K-$74K (Glassdoor est.),3.9,"Sutter Health System
3.9","Oakland, CA","Sacramento, CA",10000+ employees,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
"Lead Data Analyst, Product",$47K-$74K (Glassdoor est.),4.8,"Chime
4.8","San Francisco, CA","San Francisco, CA",201 to 500 employees,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Biological Data Analyst,$47K-$74K (Glassdoor est.),-1,Parker Institute for Cancer Immunotherapy,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Health Fundraising Organizations,Non-Profit,Unknown / Non-Applicable
BI Data Analyst - Tibco & Spotfire,$47K-$74K (Glassdoor est.),3.4,"Incedo Inc
3.4","South San Francisco, CA","Iselin, NJ",1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Data Analyst - Life Sciences,$47K-$74K (Glassdoor est.),3.1,"I.T. Solutions, Inc.
3.1","Foster City, CA","Monmouth Junction, NJ",201 to 500 employees,IT Services,Information Technology,Unknown / Non-Applicable
Sr. Data Analyst( Healthcare),$47K-$74K (Glassdoor est.),4.6,"Ascent
4.6","Alameda, CA","Concord, CA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Senior Data Analyst - Health Care Innovation,$47K-$74K (Glassdoor est.),3.4,"Impaq International, Llc
3.4","Oakland, CA","Columbia, MD",201 to 500 employees,Consulting,Business Services,$50 to $100 million (USD)
Technical Business Analyst with SQL Data Specialist,$47K-$74K (Glassdoor est.),3,"Central Business Solutions, Inc
3.0","Walnut Creek, CA","Fremont, CA",51 to 200 employees,Consulting,Business Services,$5 to $10 million (USD)
Lead Data Engineer (Capital Markets Business Analyst 2),$47K-$74K (Glassdoor est.),3.6,"Wells Fargo
3.6","San Francisco, CA","San Francisco, CA",10000+ employees,Banks & Credit Unions,Finance,$10+ billion (USD)
